,feature,importance,group_feature,importance_normalized
54,installments_payments_DAYS_INSTALMENT_DELAY_sum_max,62,installments,0.004675363848880175
72,bureau_DAYS_ENDDATE_FACT_mean,62,bureau,0.004675363848880175
59,bureau_DAYS_CREDIT_UPDATE_mean,61,bureau,0.004599954754543398
106,installments_payments_DAYS_INSTALMENT_DELAY_sum_sum,61,installments,0.004599954754543398
56,previous_SELLERPLACE_AREA_mean,60,previous,0.004524545660206621
44,previous_DAYS_LAST_DUE_1ST_VERSION_sum,60,previous,0.004524545660206621
112,bureau_DAYS_CREDIT_sum,60,bureau,0.004524545660206621
68,previous_RATE_DOWN_PAYMENT_max,59,previous,0.004449136565869844
39,previous_AMT_ANNUITY_min,59,previous,0.004449136565869844
77,installments_payments_DELAY_mean_mean,58,installments,0.004373727471533067
50,bureau_CREDIT_ACTIVE_sum,58,bureau,0.004373727471533067
88,cash_balance_CNT_INSTALMENT_FUTURE_min_mean,58,cash,0.004373727471533067
159,installments_payments_DAYS_INSTALMENT_DELAY_mean_max,57,installments,0.00429831837719629
76,installments_payments_DAYS_INSTALMENT_DELAY_max_mean,57,installments,0.00429831837719629
28,cash_balance_SK_DPD_DEF_mean_mean,57,cash,0.00429831837719629
150,cash_balance_MONTHS_BALANCE_min_sum,57,cash,0.00429831837719629
93,installments_payments_NUM_INSTALMENT_VERSION_mean_mean,57,installments,0.00429831837719629
86,bureau_CREDIT_ACTIVE_mean,56,bureau,0.004222909282859513
79,installments_payments_AMT_PAYMENT_mean_mean,56,installments,0.004222909282859513
74,previous_NAME_CONTRACT_STATUS_Approved_mean,56,previous,0.004222909282859513
80,bureau_DAYS_CREDIT_min,56,bureau,0.004222909282859513
138,bureau_DAYS_CREDIT_ENDDATE_min,55,bureau,0.004147500188522736
65,cash_balance_MONTHS_BALANCE_min_mean,54,cash,0.004072091094185958
45,previous_NAME_YIELD_GROUP_high_mean,54,previous,0.004072091094185958
85,cash_balance_CNT_INSTALMENT_FUTURE_mean_min,53,cash,0.003996681999849182
